AKR: 2222/5
CIN: 5136/7
CMH: 11888/21
DAY: 7723/14
GAS: 2538/2
MTR: 1580/3
DAY: 2064/2
CDR: 2414/5
DSM: 690/1
EVV: 893/2
KAC: 14684/9
SGF: 2197/4
SIK: 7668/5
STL: 3566/8
CLE: 9625/15
CLE: 10963/18
BGR: 150/1
DET475/2
FLN: 0/0
FTW: 1618/4
IND: 9051/13
JAK: 6226/11
LOW: 15383/14
LVL: 3966/9
SBN: 3566/5
TOL: 6153/8
WAL: 10682/8
TOL: 419/1
NAS: 170/1
GRP: 10992/18
BRL: 6486/11
LKN: 0/0
MIL: 15795/9
OSH: 2959/4
ROC: 2620/8
TMH: 5262/8
MDW: 9379/16
